line_code	env_code	FTdap	FTgdd
Line158	FU_08	71.5	2133.735
Line158	HA_08	70.5	2478.87
Line158	ISA_08	96	1942.965
Line158	ISI_08	61	2188.845
Line158	TH_08	NA	NA
Line158	TS_07	87.5	2124.4725
Line158	TS_08E	117.5	2095.92
Line158	TS_08L	64	1930.2525
Line158	TS_09	98	2248.6275
Line159	FU_08	75	2272.185
Line159	HA_08	64	2261.385
Line159	ISA_08	93	1835.0325
Line159	ISI_08	62	2224.665
Line159	TH_08	58.5	2064.87
Line159	TS_07	84	2019.6225
Line159	TS_08E	113	1955.655
Line159	TS_08L	66.5	1979.865
Line159	TS_09	94.5	2140.9425
Line16	FU_08	72	2169.945
Line16	HA_08	65	2297.925
Line16	ISA_08	97.5	1975.6575
Line16	ISI_08	62	2224.665
Line16	TH_08	60.5	2135.7
Line16	TS_07	87	2124.4725
Line16	TS_08E	118	2128.185
Line16	TS_08L	64.5	1930.2525
Line16	TS_09	101	2339.6175
Line160	FU_08	75	2272.185
Line160	HA_08	65	2297.925
Line160	ISA_08	95	1906.83
Line160	ISI_08	60.5	2152.89
Line160	TH_08	59	2099.835
Line160	TS_07	84.5	2019.6225
Line160	TS_08E	113.5	1955.655
Line160	TS_08L	67	2009.25
Line160	TS_09	98	2248.6275
Line161	FU_08	78	2370.2775
Line161	HA_08	65.5	2297.925
Line161	ISA_08	103	2160.9
Line161	ISI_08	62.5	2224.665
Line161	TH_08	NA	NA
Line161	TS_07	90	2238.8625
Line161	TS_08E	119.5	2162.61
Line161	TS_08L	69	2069.01
Line161	TS_09	100.5	2308.2075
Line162	FU_08	77	2340.09
Line162	HA_08	69	2448.54
Line162	ISA_08	99.5	2034.315
Line162	ISI_08	68	2438.325
Line162	TH_08	66.5	2342.79
Line162	TS_07	90	2238.8625
Line162	TS_08E	116.5	2060.46
Line162	TS_08L	73.5	2196.405
Line162	TS_09	97	2218.3425
Line163	FU_08	72.5	2169.945
Line163	HA_08	65.5	2297.925
Line163	ISA_08	100.5	2063.925
Line163	ISI_08	64	2295.765
Line163	TH_08	NA	NA
Line163	TS_07	87.5	2124.4725
Line163	TS_08E	119.5	2162.61
Line163	TS_08L	70	2098.575
Line163	TS_09	99	2277.2025
Line164	FU_08	101	3026.67
Line164	HA_08	68	2412.54
Line164	ISA_08	115	2574.675
Line164	ISI_08	83.5	2926.935
Line164	TH_08	81	2838.195
Line164	TS_07	99.5	2561.85
Line164	TS_08E	127.5	2430.27
Line164	TS_08L	87.5	2595.5325
Line164	TS_09	111.5	2654.64
Line165	FU_08	77	2340.09
Line165	HA_08	67	2372.67
Line165	ISA_08	100.5	2063.925
Line165	ISI_08	63.5	2260.17
Line165	TH_08	NA	NA
Line165	TS_07	89.5	2199.3975
Line165	TS_08E	118.5	2128.185
Line165	TS_08L	72	2162.16
Line165	TS_09	98	2248.6275
Line166	FU_08	87	2612.34
Line166	HA_08	67	2372.67
Line166	ISA_08	108	2329.695
Line166	ISI_08	63.5	2260.17
Line166	TH_08	59	2099.835
Line166	TS_07	96	2463.705
Line166	TS_08E	126	2391.93
Line166	TS_08L	76	2289.0825
Line166	TS_09	107.5	2528.82
Line167	FU_08	89	2668.98
Line167	HA_08	65	2297.925
Line167	ISA_08	112	2466.585
Line167	ISI_08	61	2188.845
Line167	TH_08	58	2064.87
Line167	TS_07	97	2492.19
Line167	TS_08E	129	2499.975
Line167	TS_08L	76	2289.0825
Line167	TS_09	110.5	2622.24
Line168	FU_08	90	2700.18
Line168	HA_08	76.5	2688.885
Line168	ISA_08	108	2329.695
Line168	ISI_08	76.5	2710.17
Line168	TH_08	NA	NA
Line168	TS_07	97	2492.19
Line168	TS_08E	122.5	2260.845
Line168	TS_08L	80.5	2405.8575
Line168	TS_09	104	2439.54
Line169	FU_08	77	2340.09
Line169	HA_08	67	2372.67
Line169	ISA_08	101.5	2094.21
Line169	ISI_08	66.5	2366.685
Line169	TH_08	NA	NA
Line169	TS_07	88.5	2160.4275
Line169	TS_08E	120.5	2196.99
Line169	TS_08L	69	2069.01
Line169	TS_09	99.5	2277.2025
Line17	FU_08	79	2400.405
Line17	HA_08	64.5	2261.385
Line17	ISA_08	102.5	2126.61
Line17	ISI_08	64	2295.765
Line17	TH_08	60	2135.7
Line17	TS_07	93	2346.5475
Line17	TS_08E	123	2290.815
Line17	TS_08L	70	2098.575
Line17	TS_09	103.5	2406.555
Line170	FU_08	106.5	3165.105
Line170	HA_08	78.5	2754.18
Line170	ISA_08	127	2896.29
Line170	ISI_08	76.5	2710.17
Line170	TH_08	NA	NA
Line170	TS_07	102	2664.3375
Line170	TS_08E	125.5	2355.57
