Loc	Rep	Entry	FT
ISA_08	1	Line49	102
TS_08E	1	Line49	119
TH_08	2	Line49	59
HA_08	2	Line49	62
ISI_08	2	Line49	61
TS_08L	2	Line49	66
FU_08	2	Line49	75
TS_07	2	Line49	87
TS_09	2	Line49	102
ISA_08	2	Line49	97
TS_08E	2	Line49	118
TH_08	1	Line50	61
HA_08	1	Line50	64
ISI_08	1	Line50	63
TS_08L	1	Line50	69
FU_08	1	Line50	77
TS_07	1	Line50	92
TS_09	1	Line50	103
ISA_08	1	Line50	103
TS_08E	1	Line50	124
TH_08	2	Line50	61
HA_08	2	Line50	63
ISI_08	2	Line50	64
TS_08L	2	Line50	69
FU_08	2	Line50	76
TS_07	2	Line50	92
TS_09	2	Line50	104
ISA_08	2	Line50	102
TS_08E	2	Line50	124
TH_08	1	Line51	65
HA_08	1	Line51	68
ISI_08	1	Line51	65
TS_08L	1	Line51	79
FU_08	1	Line51	89
TS_07	1	Line51	103
TS_09	1	Line51	117
ISA_08	1	Line51	118
TS_08E	1	Line51	141
TH_08	2	Line51	65
HA_08	2	Line51	68
ISI_08	2	Line51	65
TS_08L	2	Line51	80
FU_08	2	Line51	89
TS_07	2	Line51	104
TS_09	2	Line51	116
ISA_08	2	Line51	115
TS_08E	2	Line51	139
TH_08	1	Line52	60
HA_08	1	Line52	61
ISI_08	1	Line52	59
TS_08L	1	Line52	64
FU_08	1	Line52	70
TS_07	1	Line52	86
TS_09	1	Line52	95
ISA_08	1	Line52	95
TS_08E	1	Line52	113
TH_08	2	Line52	61
HA_08	2	Line52	62
ISI_08	2	Line52	59
TS_08L	2	Line52	64
FU_08	2	Line52	70
TS_07	2	Line52	87
TS_09	2	Line52	94
ISA_08	2	Line52	94
TS_08E	2	Line52	113
TH_08	1	Line53	58
HA_08	1	Line53	63
ISI_08	1	Line53	61
TS_08L	1	Line53	81
FU_08	1	Line53	97
TS_07	1	Line53	99
TS_09	1	Line53	118
ISA_08	1	Line53	125
TS_08E	1	Line53	135
TH_08	2	Line53	61
HA_08	2	Line53	64
ISI_08	2	Line53	61
TS_08L	2	Line53	81
FU_08	2	Line53	97
TS_07	2	Line53	99
TS_09	2	Line53	118
ISA_08	2	Line53	119
TS_08E	2	Line53	132
TH_08	1	Line54	65
HA_08	1	Line54	69
ISI_08	1	Line54	66
TS_08L	1	Line54	59
FU_08	1	Line54	65
TS_07	1	Line54	76
TS_09	1	Line54	81
ISA_08	1	Line54	84
TS_08E	1	Line54	99
TH_08	2	Line54	68
HA_08	2	Line54	69
ISI_08	2	Line54	65
TS_08L	2	Line54	60
FU_08	2	Line54	66
TS_07	2	Line54	77
TS_09	2	Line54	81
ISA_08	2	Line54	84
TS_08E	2	Line54	100
TH_08	1	Line55	62
HA_08	1	Line55	67
ISI_08	1	Line55	64
TS_08L	1	Line55	70
FU_08	1	Line55	78
TS_07	1	Line55	91
TS_09	1	Line55	103
ISA_08	1	Line55	106
TS_08E	1	Line55	122
TH_08	2	Line55	62
HA_08	2	Line55	67
ISI_08	2	Line55	61
TS_08L	2	Line55	70
FU_08	2	Line55	80
TS_07	2	Line55	92
TS_09	2	Line55	105
ISA_08	2	Line55	105
TS_08E	2	Line55	123
TH_08	1	Line56	65
HA_08	1	Line56	67
ISI_08	1	Line56	67
TS_08L	1	Line56	66
FU_08	1	Line56	70
TS_07	1	Line56	83
TS_09	1	Line56	88
ISA_08	1	Line56	93
TS_08E	1	Line56	110
TH_08	2	Line56	66
HA_08	2	Line56	67
ISI_08	2	Line56	66
TS_08L	2	Line56	65
FU_08	2	Line56	69
TS_07	2	Line56	82
TS_09	2	Line56	88
ISA_08	2	Line56	92
TS_08E	2	Line56	110
TH_08	1	Line57	65
HA_08	1	Line57	66
ISI_08	1	Line57	63
TS_08L	1	Line57	64
FU_08	1	Line57	72
TS_07	1	Line57	83
TS_09	1	Line57	95
ISA_08	1	Line57	97
TS_08E	1	Line57	114
TH_08	2	Line57	64
HA_08	2	Line57	65
ISI_08	2	Line57	60
TS_08L	2	Line57	64
FU_08	2	Line57	72
TS_07	2	Line57	84
TS_09	2	Line57	93
ISA_08	2	Line57	96
TS_08E	2	Line57	112
TH_08	1	Line58	71
HA_08	1	Line58	71
ISI_08	1	Line58	66
TS_08L	1	Line58	65
FU_08	1	Line58	71
TS_07	1	Line58	80
TS_09	1	Line58	85
